Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /drugs/search,264,264,15,18.57350692752692,11.789458047132939,286.6168749751523,93.0,2.2085865391885804,2.2085865391885804,15,16,17,17,18,20,28,160,290,290,290
GET,GET /feedbacks/summary,126,126,15,19.27251690427684,12.473582988604903,273.1508750002831,22.0,1.054098120976368,1.054098120976368,15,15,16,16,18,22,59,230,270,270,270
GET,GET /guides/{id},233,233,18,21.301542020296925,14.335457992274314,282.0352080161683,57.0,1.9492449379959822,1.9492449379959822,18,18,19,19,20,22,83,170,280,280,280
GET,GET /health-profile,164,164,17,26.5006549591085,13.969666964840144,569.6503329672851,46.0,1.372000728889876,1.372000728889876,17,18,19,19,21,28,130,470,570,570,570
GET,GET /notifications,125,0,18,27.64270706521347,13.64474999718368,441.2572919973172,29.0,1.045732262873381,0.0,18,19,20,20,21,26,290,340,440,440,440
GET,GET /records/{id},249,249,18,25.671101542260782,13.767708034720272,492.92020802386105,47.0,2.083098667643775,2.083098667643775,18,18,19,19,20,25,240,320,490,490,490
POST,POST /auth/login,20,0,590,534.8232083575567,306.5977500518784,693.9983749762177,513.0,0.16731716205974095,0.0,590,590,600,600,690,690,690,690,690,690,690
,Aggregated,1181,1036,17,31.486042757963354,11.789458047132939,693.9983749762177,62.436071126164265,9.880078419627703,8.667028994694581,17,18,19,19,21,28,310,590,690,690,690
